unit_id,unit_name,region,period,pop_start,pop_end,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
1908703000,City of Cotabato,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,,,,,,,,"not computable: missing VS years [2015, 2016, 2018]"
14044,Mountain Province,Cordillera Administrative Region (CAR),2020-2024,158200.0,149775.0,9620.8,4237.7,5383.1,-13808.1,-21.52,
05016,Camarines Norte,Region V (Bicol Region),2020-2024,629699.0,604666.0,45282.3,19092.1,26190.3,-51223.3,-19.92,
16085,Dinagat Islands,Region XIII (Caraga),2020-2024,128117.0,120533.0,5097.9,3416.6,1681.2,-9265.2,-17.88,
05020,Catanduanes,Region V (Bicol Region),2020-2024,271879.0,261169.0,17097.2,8200.2,8897.0,-19607.0,-17.65,
17040,Marinduque,MIMAROPA Region,2020-2024,239207.0,226522.0,11933.9,8095.9,3838.0,-16523.0,-17.03,
17051,Occidental Mindoro,MIMAROPA Region,2020-2024,525354.0,511417.0,29997.5,13006.4,16991.1,-30928.1,-14.32,
09083,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2020-2024,669840.0,661498.0,37883.5,14894.7,22988.8,-31330.8,-11.3,
0731100000,City of Lapu-Lapu,Region VII (Central Visayas),2020-2024,497604.0,497813.0,34126.5,11626.9,22499.6,-22290.6,-10.75,
17059,Romblon,MIMAROPA Region,2020-2024,308985.0,302824.0,16253.5,9609.0,6644.5,-12805.5,-10.05,
0731300000,City of Mandaue,Region VII (Central Visayas),2020-2024,364116.0,364482.0,23980.0,8923.0,15056.9,-14690.9,-9.68,
14027,Ifugao,Cordillera Administrative Region (CAR),2020-2024,207498.0,208668.0,13626.7,4192.0,9434.6,-8264.6,-9.53,
09073,Zamboanga del Sur,Region IX (Zamboanga Peninsula),2020-2024,1050668.0,1045126.0,61375.3,26608.9,34766.4,-40308.4,-9.23,
05017,Camarines Sur,Region V (Bicol Region),2020-2024,2068244.0,2063314.0,132799.7,61111.7,71688.0,-76618.0,-8.9,
08026,Eastern Samar,Region VIII (Eastern Visayas),2020-2024,477168.0,472683.0,26228.3,13348.6,12879.7,-17364.7,-8.77,
12047,Cotabato,Region XII (SOCCSKSARGEN),2020-2024,1275185.0,1286142.0,94113.7,37352.7,56760.9,-45803.9,-8.58,2020 pop restated to 2024 boundaries; 63 barangays moved N. Cotabato -> BARMM SGA during period; use combined 12047+19999 row for a consistent estimate
05041,Masbate,Region V (Bicol Region),2020-2024,908920.0,910813.0,57039.5,23465.0,33574.5,-31681.5,-8.36,
0730600000,City of Cebu ,Region VII (Central Visayas),2020-2024,964169.0,965332.0,64061.3,31708.7,32352.7,-31189.7,-7.76,
16003,Agusan del Sur,Region XIII (Caraga),2020-2024,739367.0,740531.0,42218.6,17588.2,24630.4,-23466.4,-7.61,
12047+19999,Cotabato incl. Special Geographic Area,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM);Region XII (SOCCSKSARGEN),2020-2024,1490618.0,1500845.0,94113.7,37352.7,56760.9,-46533.9,-7.47,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration; 2020 pop restated to 2024 boundaries"
14001,Abra,Cordillera Administrative Region (CAR),2020-2024,250985.0,246948.0,11241.4,7933.0,3308.4,-7345.4,-7.08,
05005,Albay,Region V (Bicol Region),2020-2024,1374768.0,1379398.0,85109.7,41227.8,43882.0,-39252.0,-6.84,
1430300000,City of Baguio,Cordillera Administrative Region (CAR),2020-2024,366358.0,368426.0,20396.5,8713.0,11683.4,-9615.4,-6.28,
12065,Sultan Kudarat,Region XII (SOCCSKSARGEN),2020-2024,854052.0,863651.0,48268.5,17727.5,30541.0,-20942.0,-5.85,
0431200000,City of Lucena ,Region IV-A (CALABARZON),2020-2024,278924.0,280331.0,17707.4,9725.4,7982.0,-6575.0,-5.64,
16068,Surigao del Sur,Region XIII (Caraga),2020-2024,642255.0,648858.0,41376.2,20092.7,21283.5,-14680.5,-5.46,
10042,Misamis Occidental,Region X (Northern Mindanao),2020-2024,617333.0,621993.0,39275.5,21374.0,17901.5,-13241.5,-5.13,
1030500000,City of Cagayan De Oro ,Region X (Northern Mindanao),2020-2024,728402.0,741617.0,50024.9,21131.5,28893.4,-15678.4,-5.12,
14032,Kalinga,Cordillera Administrative Region (CAR),2020-2024,229570.0,235391.0,15651.9,5176.1,10475.8,-4654.8,-4.8,
14081,Apayao,Cordillera Administrative Region (CAR),2020-2024,124366.0,126587.0,7450.9,3053.2,4397.7,-2176.7,-4.16,
1030900000,City of Iligan,Region X (Northern Mindanao),2020-2024,363115.0,368132.0,21571.0,11002.5,10568.6,-5551.6,-3.64,
