period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2019,"Barangay Talaba 3, City of Bacoor, Cavite",Merging of barangays,0402103091,Talaba IV,0402103068,,,2001-present,barangay
July - September 2019,"Barangay Aniban 1, City of Bacoor, Cavite",Merging of barangays,0402103076,Aniban I,0402103002,,,2001-present,barangay
July - September 2019,"Barangay Ligas 1, City of Bacoor, Cavite",Merging of barangays,0402103079,Ligas I,0402103010,,,2001-present,barangay
July - September 2019,"Barangay Zapote 2, City of Bacoor, Cavite",Merging of barangays,0402103093,Zapote III,0402103073,,,2001-present,barangay
July - September 2019,"Barangay Maliksi 2, City of Bacoor, Cavite",Merging of barangays,0402103081,Maliksi II,0402103039,,,2001-present,barangay
July - September 2019,"Barangay Niog, City of Bacoor, Cavite",Merging of barangays,0402103083,Niog I,0402103015,,,2001-present,barangay
July - September 2019,"Barangay Real, City of Bacoor, Cavite",Merging of barangays,0402103087,Real I,0402103019,,,2001-present,barangay
July - September 2019,"Barangay Zapote 1, City of Bacoor, Cavite",Merging of barangays,0402103092,Zapote I,0402103025,,,2001-present,barangay
July - September 2019,"Barangay Kaingin Digman, City of Bacoor, Cavite",Merging of barangays,0402103078,Kaingin,0402103009,,,2001-present,barangay
July - September 2019,"Barangay P.F. Espiritu 4, City of Bacoor, Cavite",Merging of barangays,0402103085,P.F. Espiritu V,0402103056,,,2001-present,barangay
July - September 2019,"Barangay P.F. Espiritu 6, City of Bacoor, Cavite",Renaming of barangays,0402103059,P.F. Espiritu VIII,0402103059,,,2001-present,barangay
July - September 2019,"Barangay Zapote 3, City of Bacoor, Cavite",Renaming of barangays,0402103075,Zapote V,0402103075,,,2001-present,barangay
July - September 2019,"Barangay Ligas 2, City of Bacoor, Cavite",Renaming of barangays,0402103036,Ligas III,0402103036,,,2001-present,barangay
July - September 2019,"Barangay P.F. Espiritu 5, City of Bacoor, Cavite",Renaming of barangays,0402103058,P.F. Espiritu VII,0402103058,,,2001-present,barangay
July - September 2019,"Barangay P.F. Espiritu 3, City of Bacoor, Cavite",Renaming of barangays,0402103055,P.F. Espiritu IV,0402103055,,,2001-present,barangay
July - September 2019,"Barangay Sultan Corobong, City of Marawi, Lanao del Sur",Newly created barangay,1903617147,Dulay,1903617040,"City Ordinance No. 18-11, Series of 2023; Plebiscite conducted on 09 March 2024",,2001-present,barangay
July - September 2019,"Barangay Sultan Panoroganan, City of Marawi, Lanao del Sur",Newly created barangay,1903617148,Kilala,1903617052,"City Ordinance No. 19-11, Series of 2023; Plebiscite conducted on 09 March 2024",,2001-present,barangay
July - September 2019,"Barangay Angoyao, City of Marawi, Lanao del Sur",Newly created barangay,1903617146,Patani,1903617099,"City Ordinance No. 20-11, Series of 2023; Plebiscite conducted on 09 March 2024",,2001-present,barangay
July - September 2019,"Barangay Guintolan, Imelda, Zamboanga Sibugay",Transfer of barangay,0908304019,"Guintolan, Payao, Zamboanga Sibugay",0908311008,GR 243167 dated 28 June 2021,,2001-present,barangay
July - September 2019,"Barangay Hibunawan, Municipality of Burauen, Leyte",Correction of name,0803710032,Hibonawan,0803710032,Certification signed by Municipal Mayor dated 21 November 2023,,2001-present,barangay
July - September 2019,"Barangay Gitabla, Municipality of Burauen, Leyte",Correction of name,0803710030,Gitablan,0803710030,Certification signed by Municipal Mayor dated 21 November 2023,,2001-present,barangay
July - September 2019,"Barangay Digahungan, Municipality of Dagami, Leyte",Correction of name,0803717021,Digahongan,0803717021,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Hitomnog, Municipality of Dagami, Leyte",Correction of name,0803717027,Hitumnog,0803717027,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Lapu-Lapu, Municipality of Dagami, Leyte",Correction of name,0803717040,Lapu-lapu Pob.,0803717040,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Lobe-Lobe, Municipality of Dagami, Leyte",Correction of name,0803717030,Lobe-lobe,0803717030,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Lobe-Lobe East, Municipality of Dagami, Leyte",Correction of name,0803717060,Lobe-lobe East,0803717060,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Sto. Domingo, Municipality of Dagami, Leyte",Correction of name,0803717052,Santo Domingo,0803717052,Certification signed by Municipal Mayor dated 14 December 2023,,2001-present,barangay
July - September 2019,"Barangay Casulongan, Municipality of Javier, Leyte",Correction of name,0803724009,Casalungan,0803724009,Certification signed by Municipal Mayor dated 21 November 2023,,2001-present,barangay
July - September 2019,"Barangay Sta. Cruz, Municipality of Julita, Leyte",Correction of name,0803725024,Santa Cruz,0803725024,Certification signed by Municipal Mayor dated 22 November 2023,,2001-present,barangay
July - September 2019,"Barangay Sto. Niño, Municipality of Julita, Leyte",Correction of name,0803725025,Santo Niño,0803725025,Certification signed by Municipal Mayor dated 22 November 2023,,2001-present,barangay
July - September 2019,"Barangay Gimiranat East, Municipality of La Paz, Leyte",Correction of name,0803728015,Gimenarat East,0803728015,Certification signed by Municipal Mayor dated 28 November 2023,,2001-present,barangay
July - September 2019,"Barangay Gimiranat West, Municipality of La Paz, Leyte",Correction of name,0803728016,Gimenarat West,0803728016,Certification signed by Municipal Mayor dated 28 November 2023,,2001-present,barangay
July - September 2019,"Barangay Palanogan, Municipality of Mahaplag, Leyte",Correction of name,0803731014,Palañogan,0803731014,Certification signed by Municipal Mayor dated 28 November 2023,,2001-present,barangay
July - September 2019,"Barangay Sta. Cruz, Municipality of Mahaplag, Leyte",Correction of name,0803731021,Santa Cruz,0803731021,Certification signed by Municipal Mayor dated 28 November 2023,,2001-present,barangay
July - September 2019,"Barangay Sto. Niño, Municipality of Mahaplag, Leyte",Correction of name,0803731028,Santo Niño,0803731028,Certification signed by Municipal Mayor dated 28 November 2023,,2001-present,barangay
July - September 2019,"Barangay Mercaduhay, Municipality of Tabontabon, Leyte",Correction of name,0803746009,Mercadohay,0803746009,Certification signed by Municipal Mayor dated 22 November 2023,,2001-present,barangay
July - September 2019,"Barangay Guingauan, Municipality of Tabontabon, Leyte",Correction of name,0803746007,Guingawan,0803746007,Certification signed by Municipal Mayor dated 22 November 2023,,2001-present,barangay
