"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"…...City of Santa Rosa",2417,2217,8,6,93,58
"…...Siniloan",265,174,1,0,5,1
"…...Victoria",320,191,0,0,6,0
"….QUEZON",13295,10890,50,33,418,274
"…...Agdangan",97,54,0,0,4,1
"…...Alabat",138,166,0,2,3,7
"…...Atimonan",542,454,1,1,13,12
"…...Buenavista",196,113,2,0,9,5
"…...Burdeos",111,73,0,0,3,2
"…...Calauag",521,382,3,1,12,6
"…...Candelaria",946,1026,7,3,16,23
"…...Catanauan",499,480,1,2,23,24
"…...Dolores",221,149,0,0,5,2
"…...General Luna",184,111,0,0,4,0
"…...General Nakar",154,79,0,0,2,0
"…...Guinayangan",307,218,1,0,7,2
"…...Gumaca",486,589,2,3,14,21
"…...Infanta",464,569,1,2,13,18
"…...Jomalig",31,24,0,0,2,2
"…...Lopez",696,727,1,4,27,30
"…...Lucban",382,311,1,1,8,3
"…...Macalelon",181,109,1,0,4,2
"…...Mauban",492,377,3,2,21,13
"…...Mulanay",340,235,0,0,16,10
"…...Padre Burgos",177,102,0,0,8,4
"…...Pagbilao",535,314,2,0,14,1
"…...Panukulan",81,48,0,0,2,1
"…...Patnanungan",82,68,1,1,2,2
"…...Perez",84,41,0,0,2,0
"…...Pitogo",194,103,1,0,8,2
"…...Plaridel",101,49,1,0,3,0
"…...Polillo",205,186,1,0,6,6
"…...Quezon",121,60,1,0,8,1
"…...Real",225,106,1,0,12,2
"…...Sampaloc",106,72,0,0,5,1
"…...San Andres",225,176,1,0,7,3
"…...San Antonio",268,158,0,0,7,3
"…...San Francisco",328,270,4,3,7,4
"…...San Narciso",343,292,7,5,16,13
"…...Sariaya",1176,854,2,1,38,10
"…...Tagkawayan",366,278,0,0,17,10
"…...City of Tayabas",762,745,3,2,28,17
"…...Tiaong",730,483,1,0,18,4
"…...Unisan",198,239,0,0,4,7
"….RIZAL",20986,15966,69,38,731,463
"…...Angono",877,812,3,0,25,22
"…...City of Antipolo",5557,4042,19,12,207,125
"…...Baras",458,203,2,0,25,5
"…...Binangonan",2214,2146,5,3,78,66
"…...Cainta",2297,1674,8,2,64,30
"…...Cardona",448,285,1,2,14,2
"…...Jala-Jala",243,224,2,0,6,3
"…...Morong",571,859,0,4,23,53
"…...Pililla",465,301,0,0,12,4
"…...Rodriguez",2602,1833,8,6,117,74
"…...San Mateo",1670,974,8,3,61,22
"…...Tanay",912,624,4,1,24,8
"…...Taytay",2185,1698,7,5,67,41
"…...Teresa",487,291,2,0,8,8
"….CITY OF LUCENA",2430,4209,11,29,128,244
"MIMAROPA REGION",19395,18828,54,55,648,628
"….MARINDUQUE",1781,1612,3,2,50,44
"…...Boac",396,600,1,0,10,19
"…...Buenavista",164,110,0,0,6,5
"…...Gasan",232,153,0,0,6,1
"…...Mogpog",257,155,0,0,5,3
"…...Santa Cruz",474,388,0,0,16,10
"…...Torrijos",258,206,2,2,7,6
"….OCCIDENTAL MINDORO",3178,2970,12,11,117,111
"…...Abra de Ilog",170,108,1,1,15,6
"…...Calintaan",183,117,1,0,7,2
