"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Arayat",2729,1377,1352,2217,1123,1094
"......Bacolor",37,19,18,717,396,321
"......Candaba",196,106,90,1638,869,769
"......Floridablanca",1680,862,818,1789,925,864
"......Guagua",1986,1035,951,1586,843,743
"......Lubao",2565,1367,1198,2563,1349,1214
"......Mabalacat City",3155,1619,1536,4266,2199,2067
"......Macabebe",1374,695,679,919,463,456
"......Magalang",1745,887,858,1737,896,841
"......Masantol",63,33,30,730,361,369
"......Mexico",2162,1119,1043,2588,1308,1280
"......Minalin",5,3,2,630,329,301
"......Porac",1568,839,729,2438,1293,1145
"......City of San Fernando (Capital)",12223,6429,5794,5201,2676,2525
"......San Luis",1139,631,508,860,468,392
"......San Simon",61,30,31,928,504,424
"......Santa Ana",26,13,13,796,419,377
"......Santa Rita",7,3,4,580,308,272
"......Santo Tomas",242,123,119,659,324,335
"......Sasmuan (Sexmoan)",6,1,5,443,235,208
"....TARLAC",20346,10445,9901,19878,10192,9686
"......Anao",4,1,3,111,53,58
"......Bamban",328,167,161,1114,562,552
"......Camiling",1119,558,561,971,495,476
"......Capas",2821,1430,1391,2364,1195,1169
"......Concepcion",2310,1196,1114,2615,1349,1266
"......Gerona",234,114,120,1032,525,507
"......La Paz",663,342,321,877,452,425
"......Mayantoc",63,34,29,396,194,202
"......Moncada",374,179,195,677,309,368
"......Paniqui",776,408,368,1099,584,515
"......Pura",46,30,16,264,143,121
"......Ramos",67,28,39,255,127,128
"......San Clemente",12,8,4,130,76,54
"......San Jose",492,260,232,680,365,315
"......San Manuel",210,110,100,322,154,168
"......Santa Ignacia",213,111,102,583,293,290
"......City of Tarlac (Capital)",10351,5340,5011,5591,2905,2686
"......Victoria",263,129,134,797,411,386
"....ZAMBALES",8398,4401,3997,8984,4743,4241
"......Botolan",528,256,272,1051,538,513
"......Cabangan",163,87,76,445,233,212
"......Candelaria",1518,798,720,437,229,208
"......Castillejos",34,19,15,853,447,406
"......Iba (Capital)",2584,1392,1192,857,461,396
"......Masinloc",223,132,91,793,423,370
"......Palauig",51,25,26,533,276,257
"......San Antonio",16,3,13,413,191,222
"......San Felipe",31,13,18,322,167,155
"......San Marcelino",2456,1255,1201,472,242,230
"......San Narciso",3,0,3,329,180,149
"......Santa Cruz",462,245,217,993,552,441
"......Subic",329,176,153,1486,804,682
"....CITY OF ANGELES",7480,3869,3611,6353,3321,3032
"....CITY OF OLONGAPO",3895,2074,1821,2905,1530,1375
"REGION IV-A (CALABARZON)",202829,105079,97750,217906,113018,104888
"....BATANGAS",39340,20271,19069,39060,20114,18946
"......Agoncillo",101,46,55,527,249,278
"......Alitagtag",14,6,8,301,163,138
"......Balayan",2933,1557,1376,1187,643,544
"......Balete",203,108,95,332,179,153
"......Batangas City (Capital)",6063,3124,2939,4163,2132,2031
"......Bauan",2379,1232,1147,1030,535,495
"......Calaca",380,195,185,1225,646,579
"......Calatagan",448,233,215,826,447,379
"......Cuenca",520,256,264,425,200,225
"......Ibaan",116,55,61,739,369,370
"......Laurel",224,119,105,604,308,296
"......Lemery",3385,1735,1650,1150,603,547
"......Lian",2,1,1,767,410,357
"......City of Lipa",7032,3612,3420,6270,3205,3065
"......Lobo",256,125,131,452,220,232
"......Mabini",49,27,22,475,255,220
"......Malvar",240,123,117,904,471,433
"......Mataas na Kahoy",7,4,3,356,177,179
"......Nasugbu",1897,977,920,2067,1023,1044
"......Padre Garcia",182,88,94,766,390,376
"......Rosario",2229,1108,1121,1722,856,866
"......San Jose",1467,784,683,1085,587,498
"......San Juan",1840,945,895,1735,871,864
"......San Luis",134,65,69,377,197,180
